ingredients_list,gpt-3_extracted
1/3  cup   toasted pumpkin seeds. 4   ounces   softened reduced-fat cream cheese or 4   ounces    cream cheese. 4   ounces    goat cheese (I used La Buchette with Fine Herbs). 1 (16   ounce) jar   salsa (Frontera Jalapeno Cilantro recommended). chopped fresh cilantro,"['toasted pumpkin seeds', 'reduced-fat cream cheese', 'cream cheese', 'goat cheese', 'salsa', 'chopped fresh cilantro']"
2   tablespoons   melted margarine. 1   tablespoon    potato starch. 1   cup    vegetable broth. 1   cup   grated carrot. 1/2  cup    ketchup. salt and pepper,"['melted margarine', 'potato starch', 'vegetable broth', 'grated carrot', 'ketchup', 'salt', 'pepper']"
"200   g    chickpeas, mashed. 1       carrot, shredded. 1       parsnip, shredded. 2       spring onions, finely chopped. 1       egg. 1       chili, finely chopped. 1   tablespoon    thyme leaves. 2       garlic cloves, minced. 1   teaspoon    cumin. 1   teaspoon    paprika. 1   teaspoon    fenugreek seeds. 1/2  teaspoon    turmeric. 1/2  teaspoon    sea salt. 1/2  teaspoon    fresh ground pepper","['chickpeas', 'carrot', 'parsnip', 'spring onions', 'egg', 'chili', 'thyme leaves', 'garlic cloves', 'cumin', 'paprika', 'fenugreek seeds', 'turmeric', 'sea salt', 'fresh ground pepper']"
"1   tablespoon    butter. 2       leeks, white parts only,sliced. 2   cups    frozen peas. 2   cups   torn fresh spinach, packed. 2   cups    chicken stock. 1/4  teaspoon    dried savory. salt & freshly ground black pepper. plain yogurt","['butter', 'leeks', 'frozen peas', 'torn fresh spinach', 'chicken stock', 'dried savory', 'salt', 'freshly ground black pepper', 'plain yogurt']"
1/2  cup    sugar. 1/2  cup    butter. 3/4  cup    flour,"['sugar', 'butter', 'flour']"
"2   lbs    baby back ribs. 3/4  cup    brown sugar, chipotle rub  (McCormicks sweet & smoky is best). 1 1/2  cups    barbecue sauce (Sweet Baby Ray's is best). 3/4  cup    butter. 3/4  cup    water","['baby back ribs', 'brown sugar', 'chipotle rub', 'barbecue sauce', 'butter', 'water']"
2   cups    warm water. 4 1/2  teaspoons    yeast. 1/2  cup    sugar. 1/2  cup    soft margarine or 1/2  cup    shortening. 1       egg. 1   teaspoon    salt. 7   cups    flour,"['warm water', 'yeast', 'sugar', 'soft margarine', 'shortening', 'egg', 'salt', 'flour']"
"5   slices    bacon, cut in 1/2 inch pieces. 1   medium    onion, coarsely chopped. 2 (10   ounce) cans  campbell condensed cream of potato soup. 2 (10   ounce) cans   evaporated milk. 1 (5   ounce) can   baby clams or 1 (5   ounce) can   minced clams, undrained","['bacon', 'onion', 'campbell condensed cream of potato soup', 'evaporated milk', 'baby clams', 'minced clams']"
1   teaspoon    chili powder. 1/4  teaspoon    celery seed. 1/2  teaspoon    nutmeg. 1/2  teaspoon    coriander. 1   teaspoon    onion powder. 1   teaspoon    paprika. 1/4  teaspoon    garlic powder. 1   teaspoon    turmeric,"['chili powder', 'celery seed', 'nutmeg', 'coriander', 'onion powder', 'paprika', 'garlic powder', 'turmeric']"
"2   lbs    boiling potatoes, peeled and cubed. 1/4  cup    basil pesto. 1/2  cup    heavy cream. 4   tablespoons    butter. salt and pepper","['boiling potatoes', 'basil pesto', 'heavy cream', 'butter', 'salt', 'pepper']"
