ingredients_list,gpt-3_extracted
"4   cups    water
1   cup   uncooked old fashion grits
1   teaspoon    salt
4   ounces   shredded cheddar cheese
1 -2   clove    garlic, minced 
1   tablespoon    olive oil","['water', 'uncooked old fashion grits', 'salt', 'shredded cheddar cheese', 'garlic, minced', 'olive oil']"
"1   medium    onion, chopped coarse 
1   medium    red bell pepper, chopped coarse 
5   medium    garlic cloves, chopped coarse 
1   lb   extra large shrimp, shelled and deveined 
  salt
  hot pepper sauce
1   tablespoon    vegetable oil
3/4  lb    andouille sausage, halved lengthwise and then cut into 1/4 inch slices 
1 1/2  cups    long grain rice
4       bay leaves
1 (14   ounce) can   diced tomatoes, briefly drained 
2 (8   ounce) bottles   clam juice
1/4  cup    fresh parsley, chopped ","['onion', 'red bell pepper', 'garlic cloves', 'extra large shrimp', 'salt', 'hot pepper sauce', 'vegetable oil', 'andouille sausage', 'long grain rice', 'bay leaves', 'diced tomatoes', 'clam juice', 'fresh parsley']"
"1   cup   canned white beans, rinsed and drained 
1   cup    canned black beans, rinsed and drained 
1   large    tomatoes, diced 
1   small    onion, diced 
1   stalk    celery, diced 
1   tablespoon    white wine vinegar
2   tablespoons    Italian parsley, minced 
1/8  teaspoon    table salt, to taste 
1/8  teaspoon    black pepper, to taste 
1 -2   teaspoon    olive oil, to taste ","['canned white beans', 'canned black beans', 'tomatoes', 'onion', 'celery', 'white wine vinegar', 'Italian parsley', 'table salt', 'black pepper', 'olive oil']"
"2       zucchini, sliced 
2   small    yellow squash, sliced 
2 -3   cans    diced tomatoes
1       onion, chopped 
4   cloves    garlic, crushed 
1       green bell pepper, chopped 
2   teaspoons    italian seasoning
1   cup    water or 1   cup    vegetable broth
  salt and pepper","['zucchini', 'yellow squash', 'onion', 'garlic', 'green bell pepper', 'italian seasoning', 'water', 'vegetable broth', 'salt', 'pepper']"
"3   lbs    beef stew meat
3   tablespoons    flour
1   teaspoon    salt
1/2  teaspoon    allspice
1/2  teaspoon    cinnamon
1/2  teaspoon    black pepper
1   tablespoon    vegetable oil
3   cups    onions, thinly sliced 
1   cup    dried sour cherries
2   tablespoons    sugar
2   tablespoons    water
1   cup    dry red wine
1   cup    beef stock
1   lb    mushroom, quartered ","['beef stew meat', 'flour', 'salt', 'allspice', 'cinnamon', 'black pepper', 'vegetable oil', 'onions', 'dried sour cherries', 'sugar', 'water', 'dry red wine', 'beef stock', 'mushroom']"
"12   ounces    slivered almonds
1/4  cup    cider vinegar
2   cups    sugar
1   tablespoon    sugar
2   teaspoons    salt
2   teaspoons    ground cumin
1   teaspoon    ground coriander
3/4  teaspoon    cayenne pepper","['slivered almonds', 'cider vinegar', 'sugar', 'sugar', 'salt', 'ground cumin', 'ground coriander', 'cayenne pepper']"
"4   cups   roasted chopped chicken breasts
1/4  cup   chopped green onion
1/4  cup   chopped red bell pepper
2   tablespoons   minced parsley
1/2  cup    mayonnaise
1/4  cup    sour cream
2   tablespoons    lemon juice
2   teaspoons    Dijon mustard
  salt & pepper, to taste 
8   ounces   shredded cheddar cheese
10   ounces    potato chips, crushed ","['roasted chopped chicken breasts', 'chopped green onion', 'chopped red bell pepper', 'minced parsley', 'mayonnaise', 'sour cream', 'lemon juice', 'Dijon mustard', 'shredded cheddar cheese', 'potato chips']"
"8       eggs
1/2  cup    milk
1   tablespoon    fresh sage, roughly chopped  (updated from bunch that auto appeared)
1   teaspoon    fresh thyme, chopped 
2       garlic cloves, chopped 
1/4  cup    pecorino cheese, grated  (can subsitute your preference for cheese)
24   stalks    asparagus
2   tablespoons    extra virgin olive oil","['eggs', 'milk', 'fresh sage', 'fresh thyme', 'garlic cloves', 'pecorino cheese', 'asparagus', 'extra virgin olive oil']"
"2   tablespoons    butter
1   medium    onion
2   tablespoons   minced garlic
3   cups    potatoes, skin on, 1 inch cubed 
3   tablespoons    flour
2   cups    milk
1/2  teaspoon    black pepper
1/4  teaspoon    nutmeg
1 (14   ounce) can   creamed corn
1 (14   ounce) can   low sodium chicken broth
1 (8   ounce) can   lump crabmeat
1   dash    cayenne pepper
1   pinch    parsley","['butter', 'onion', 'minced garlic', 'potatoes', 'flour', 'milk', 'black pepper', 'nutmeg', 'creamed corn', 'low sodium chicken broth', 'lump crabmeat', 'cayenne pepper', 'parsley']"
"1   lb    lean ground beef
1/2  cup    ketchup
2   tablespoons    Heinz Chili Sauce
1   teaspoon    white vinegar
1   teaspoon    sugar
1   teaspoon    prepared yellow mustard
1/2  teaspoon    onion powder","['lean ground beef', 'ketchup', 'Heinz Chili Sauce', 'white vinegar', 'sugar', 'prepared yellow mustard', 'onion powder']"
"1/2  cup    butter
1   cup    granulated sugar
2   teaspoons    baking powder
1/2  teaspoon    salt
1   teaspoon    vanilla extract
2   large    eggs
1/2  cup    milk
2   cups    whole wheat flour
2   cups    chocolate chips
 coarse decorator sugar, for topping ","['butter', 'granulated sugar', 'baking powder', 'salt', 'vanilla extract', 'eggs', 'milk', 'whole wheat flour', 'chocolate chips', 'coarse decorator sugar']"
"1 3/4  cups    all-purpose flour
1/2  teaspoon    baking soda
1/2  teaspoon   grated nutmeg
1/2  lb   cool margarine, cut into small pieces 
1   cup    sugar
3/4  cup   packed dark brown sugar
1   large    egg, room temperature 
1   large    egg white, room temperature 
2   teaspoons    vanilla
4   ounces    potato chips, crushed  (about 6 cups, my favorite is Ruffles)
3   cups    semi-sweet chocolate chips or 3   cups    bittersweet chocolate chips","['all-purpose flour', 'baking soda', 'grated nutmeg', 'cool margarine', 'sugar', 'packed dark brown sugar', 'egg', 'egg white', 'vanilla', 'potato chips', 'semi-sweet chocolate chips', 'bittersweet chocolate chips']"
